group,roi,episode_id,segment_rows,tr_rows,warning_count,failed_batches,zero_filled_segments,mean_score_value,std_score_value,nonzero_value_rate,all_zero_segment_rate,all_zero_tr_rate,provider,model
round5_add10,IPL,s02e05b,264,455,0,0,0,1.9202020202020202,1.7869323523611942,0.7257575757575757,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e01a,269,491,0,0,0,1.414622057001239,1.4260227355442834,0.6039653035935564,0.007434944237918215,0.008146639511201629,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e01b,264,491,0,0,0,1.5363636363636364,1.4135673437956051,0.6792929292929293,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e02a,272,475,0,0,0,1.9825980392156863,1.4093320331291694,0.8267156862745098,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e02b,282,475,0,0,0,1.7456264775413712,1.5016377261113856,0.7276595744680852,0.0070921985815602835,0.01263157894736842,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e03a,253,454,0,0,0,1.5093544137022399,1.3973830159849732,0.6903820816864296,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e03b,284,454,0,0,0,1.5014084507042254,1.4563275850734807,0.6694835680751173,0.007042253521126761,0.011013215859030838,aihubmix,gemini-3.5-flash
round5_add10,IPL,s03e04a,268,473,0,0,0,1.55,1.433514104069843,0.6838308457711443,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,SMG,s02e03b,255,464,0,0,0,0.8747712418300654,1.3596438811752922,0.4091503267973856,0.011764705882352941,0.015086206896551725,aihubmix,gemini-3.5-flash
round5_add10,SMG,s02e04b,259,454,0,0,0,0.9274131274131274,1.4719628113072114,0.4126126126126126,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,SMG,s02e05b,264,455,0,0,0,1.1123737373737375,1.5853650192175806,0.48409090909090907,0.007575757575757576,0.008791208791208791,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e01a,269,491,0,0,0,0.7908302354399008,1.2371230885549571,0.38166047087980176,0.007434944237918215,0.008146639511201629,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e01b,264,491,0,0,0,0.9452020202020202,1.3375981827820256,0.44595959595959594,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e02a,272,475,0,0,0,0.9254901960784314,1.2794902687957805,0.4411764705882353,0.007352941176470588,0.008421052631578947,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e02b,282,475,0,0,0,1.004255319148936,1.4613963499975382,0.44680851063829785,0.031914893617021274,0.014736842105263158,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e03a,253,454,0,0,0,0.9046113306982873,1.3324241928531384,0.4337285902503294,0.003952569169960474,0.0022026431718061676,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e03b,284,454,0,0,0,0.7678403755868545,1.278698183678456,0.35938967136150235,0.01056338028169014,0.011013215859030838,aihubmix,gemini-3.5-flash
round5_add10,SMG,s03e04a,268,473,0,0,0,0.93681592039801,1.3470024989894616,0.44104477611940296,0.007462686567164179,0.0021141649048625794,aihubmix,gemini-3.5-flash
round5_add10,AG,s02e03b,255,464,0,0,0,2.3016339869281044,1.9118303714771363,0.8062091503267974,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,AG,s02e04b,259,454,0,0,0,2.173101673101673,2.162693463710613,0.7335907335907336,0.0,0.0,aihubmix,gemini-3.5-flash
round5_add10,AG,s02e05b,264,455,0,0,0,2.4857954545454546,2.2996322166595533,0.73989898989899,0.0,0.0,aihubmix,gemini-3.5-flash
